Ticker,Industry
AMG,Financials
AFL,Financials
ALL,Financials
AXP,Financials
AIG,Financials
AMP,Financials
AON,Financials
AJG,Financials
AIZ,Financials
BAC,Financials
BK,Financials
BBT,Financials
BRK.B,Financials
BLK,Financials
HRB,Financials
BHF,Financials
COF,Financials
CBOE,Financials
SCHW,Financials
CB,Financials
CINF,Financials
C,Financials
CFG,Financials
CME,Financials
CMA,Financials
DFS,Financials
ETFC,Financials
RE,Financials
FITB,Financials
BEN,Financials
GS,Financials
HIG,Financials
HBAN,Financials
ICE,Financials
IVZ,Financials
JEF,Financials
JPM,Financials
KEY,Financials
LNC,Financials
L,Financials
MTB,Financials
MMC,Financials
MET,Financials
MCO,Financials
MS,Financials
MSCI,Financials
NDAQ,Financials
NTRS,Financials
PBCT,Financials
PNC,Financials
PFG,Financials
PGR,Financials
PRU,Financials
RJF,Financials
RF,Financials
SPGI,Financials
STT,Financials
STI,Financials
SIVB,Financials
SYF,Financials
TROW,Financials
TMK,Financials
TRV,Financials
USB,Financials
UNM,Financials
WFC,Financials
WLTW,Financials
XL,Financials
ZION,Financials
