Ticker,Industry
MMM,Industrials
ALK,Industrials
ALLE,Industrials
AAL,Industrials
AME,Industrials
AOS,Industrials
ARNC,Industrials
BA,Industrials
CHRW,Industrials
CAT,Industrials
CTAS,Industrials
CPRT,Industrials
CSX,Industrials
CMI,Industrials
DE,Industrials
DAL,Industrials
DOV,Industrials
ETN,Industrials
EMR,Industrials
EFX,Industrials
EXPD,Industrials
FAST,Industrials
FDX,Industrials
FLS,Industrials
FLR,Industrials
FTV,Industrials
FBHS,Industrials
GD,Industrials
GE,Industrials
GWW,Industrials
HON,Industrials
HII,Industrials
INFO,Industrials
ITW,Industrials
IR,Industrials
JEC,Industrials
JBHT,Industrials
JCI,Industrials
KSU,Industrials
LLL,Industrials
LMT,Industrials
MAS,Industrials
NLSN,Industrials
NSC,Industrials
NOC,Industrials
PCAR,Industrials
PH,Industrials
PNR,Industrials
PWR,Industrials
RTN,Industrials
RSG,Industrials
RHI,Industrials
ROK,Industrials
COL,Industrials
ROP,Industrials
LUV,Industrials
SRCL,Industrials
TXT,Industrials
TDG,Industrials
UNP,Industrials
UAL,Industrials
UPS,Industrials
URI,Industrials
UTX,Industrials
VRSK,Industrials
WM,Industrials
XYL,Industrials
